year,stateabbr,locationname,category,measure,data_value,data_value_unit
2023,AR,Pope,Disability,Independent living disability among adults,10.3,%
2023,AZ,Mohave,Health Risk Behaviors,No leisure-time physical activity among adults,29.7,%
2022,AL,Winston,Health Outcomes,All teeth lost among adults aged >=65 years,14.5,%
2023,AL,Coffee,Health Status,Fair or poor self-rated health status among adults,23.9,%
2023,AL,Covington,Health Outcomes,Obesity among adults,38.1,%
2023,CA,Fresno,Health Outcomes,High blood pressure among adults,31.4,%
2023,AK,Aleutians East,Disability,Self-care disability among adults,3.7,%
2023,AK,Bethel,Health Outcomes,High blood pressure among adults,37.5,%
2022,AL,Choctaw,Health Outcomes,All teeth lost among adults aged >=65 years,22.0,%
2023,AR,Cleburne,Disability,Mobility disability among adults,21.1,%
2022,AL,Houston,Prevention,Colorectal cancer screening among adults aged 45–75 years,66.7,%
2023,AK,Prince of Wales-Hyder,Health Outcomes,Chronic obstructive pulmonary disease among adults,9.4,%
2023,CA,Mariposa,Health Outcomes,Stroke among adults,4.6,%
2023,AR,White,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,9.3,%
2023,AR,Cleveland,Health Outcomes,High blood pressure among adults,39.4,%
2023,AR,Ashley,Health Outcomes,Cancer (non-skin) or melanoma among adults,6.5,%
2023,AL,Greene,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,21.8,%
2023,AR,Newton,Health Outcomes,Current asthma among adults,10.3,%
2023,CA,Fresno,Health Outcomes,High cholesterol among adults who have ever been screened,32.7,%
2023,AK,Dillingham,Health Risk Behaviors,Binge drinking among adults,18.2,%
2023,AR,Perry,Health Status,Frequent physical distress among adults,16.9,%
2023,AL,Marshall,Health Outcomes,Diagnosed diabetes among adults,12.4,%
2023,AR,Franklin,Health-Related Social Needs,Lack of social and emotional support among adults,27.3,%
2022,AL,Morgan,Prevention,Visited dentist or dental clinic in the past year among adults,55.7,%
2023,CA,Del Norte,Health Status,Fair or poor self-rated health status among adults,23.1,%
2023,AL,Coosa,Health Status,Frequent physical distress among adults,17.0,%
2022,AZ,Navajo,Prevention,Mammography use among women aged 50-74 years,63.9,%
2023,CA,Imperial,Health-Related Social Needs,Loneliness among adults,38.2,%
2023,AL,Conecuh,Health Status,Frequent mental distress among adults,20.8,%
2023,AL,Morgan,Health-Related Social Needs,Received food stamps in the past 12 months among adults,13.0,%
2023,AL,Franklin,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,11.4,%
2023,AZ,Yuma,Prevention,Current lack of health insurance among adults aged 18-64 years,24.1,%
2023,CA,Alpine,Disability,Independent living disability among adults,7.4,%
2023,AR,Boone,Disability,Hearing disability among adults,7.6,%
2023,AL,Cherokee,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,59.8,%
2023,AK,Sitka,Health Outcomes,Current asthma among adults,10.1,%
2023,CA,Kings,Disability,Cognitive disability among adults,18.6,%
2023,CA,Lake,Disability,Cognitive disability among adults,16.7,%
2023,CA,Colusa,Health Risk Behaviors,Current cigarette smoking among adults,13.5,%
2023,AZ,Yavapai,Disability,Independent living disability among adults,8.0,%
2023,AL,Russell,Prevention,Current lack of health insurance among adults aged 18-64 years,11.9,%
2023,CA,Placer,Health Status,Frequent physical distress among adults,11.3,%
2023,AK,Yukon-Koyukuk,Health Outcomes,High blood pressure among adults,41.4,%
2023,CA,Sacramento,Disability,Vision disability among adults,5.1,%
2023,AR,Nevada,Health Outcomes,Obesity among adults,44.0,%
2023,AL,Pike,Health Outcomes,High cholesterol among adults who have ever been screened,35.2,%
2023,AL,Mobile,Health Status,Fair or poor self-rated health status among adults,23.0,%
2023,AL,Dale,Health-Related Social Needs,Food insecurity in the past 12 months among adults,22.2,%
2023,CA,Placer,Health Outcomes,Obesity among adults,27.2,%
2023,AL,Winston,Disability,Mobility disability among adults,21.7,%
2023,AR,Howard,Health Outcomes,Diagnosed diabetes among adults,15.2,%
2023,AL,Coffee,Health Risk Behaviors,No leisure-time physical activity among adults,28.8,%
2023,AR,Woodruff,Health Risk Behaviors,Binge drinking among adults,14.7,%
2023,AR,Dallas,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,19.1,%
2023,AR,Phillips,Health-Related Social Needs,Received food stamps in the past 12 months among adults,29.6,%
2023,AL,Crenshaw,Health-Related Social Needs,Food insecurity in the past 12 months among adults,21.8,%
2023,CA,Riverside,Health-Related Social Needs,Food insecurity in the past 12 months among adults,21.0,%
2023,AR,Saline,Health-Related Social Needs,Food insecurity in the past 12 months among adults,13.7,%
2022,CA,Marin,Prevention,Colorectal cancer screening among adults aged 45–75 years,65.4,%
2023,AL,Elmore,Health Outcomes,Coronary heart disease among adults,6.7,%
2023,AK,Lake and Peninsula,Health-Related Social Needs,Lack of social and emotional support among adults,30.3,%
2022,AK,Aleutians East,Prevention,Visited dentist or dental clinic in the past year among adults,48.1,%
2023,AR,Pike,Health Outcomes,Current asthma among adults,10.3,%
2023,AR,Baxter,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,82.3,%
2023,AL,Mobile,Health Outcomes,Chronic obstructive pulmonary disease among adults,7.9,%
2023,AL,Colbert,Disability,Independent living disability among adults,9.7,%
2023,AR,Washington,Disability,Mobility disability among adults,13.9,%
2023,AK,Sitka,Health Status,Frequent physical distress among adults,11.6,%
2023,AR,Desha,Health Outcomes,High blood pressure among adults,46.7,%
2022,CA,Del Norte,Prevention,Visited dentist or dental clinic in the past year among adults,53.4,%
2023,AL,Winston,Health Risk Behaviors,Binge drinking among adults,16.0,%
2023,AK,Hoonah-Angoon,Health Status,Frequent physical distress among adults,14.9,%
2023,AL,Butler,Disability,Self-care disability among adults,5.5,%
2023,AR,St. Francis,Disability,Any disability among adults,43.4,%
2023,AZ,Graham,Health Risk Behaviors,Current cigarette smoking among adults,15.2,%
2023,AL,Marshall,Health Status,Fair or poor self-rated health status among adults,23.5,%
2023,CA,San Benito,Health Status,Fair or poor self-rated health status among adults,22.6,%
